form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate
1,Jaka jest twoja plec?,choice,mezczyzna,7.274231149000116,,,,,,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
2,Jaki jest twoj wiek?,free text,18,None,,,,,,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,13.61068982300003,,,,,,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,40.399170850999326,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,2,Czy wrócił w czerwcu?,choice,tak,42.194776878000084,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,45.15360246599994,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,nie,47.12936304899995,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,45.96735813600026,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,70.29859583400048,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,tak,52.116077818999656,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,56.18766777300061,,,JK_02,1,2021_kwi_21_1326,eksperyment_trudny,2021.1.3,60.04350103603078
,,,,,,,,,,434.8787015879998,None,,,,,,
