ID,Godzina rozpoczęcia,Godzina ukończenia,Adres e-mail,Płeć,Wiek (ukończony w latach),Wykształcenie,Wyrażam świadomą i dobrowolną zgodę na udział w badaniu.,Takie widoki w przestrzeni publicznej są normalne [1/10],Takie widoki w przestrzeni publicznej są normalne [2/10],Takie widoki w przestrzeni publicznej są normalne [3/10],Takie widoki w przestrzeni publicznej są normalne [4/10],Takie widoki w przestrzeni publicznej są normalne [5/10],Takie widoki w przestrzeni publicznej są normalne [6/10],Takie widoki w przestrzeni publicznej są normalne [7/10],Takie widoki w przestrzeni publicznej są normalne [8/10],Takie widoki w przestrzeni publicznej są normalne [9/10],Takie widoki w przestrzeni publicznej są normalne [10/10]
1,1.19.22 11:24:43,1.19.22 11:38:14,anonymous,Mężczyzna,21,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
2,1.24.22 14:11:36,1.24.22 14:30:04,anonymous,Mężczyzna,52,Wyższe,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
3,1.25.22 16:01:13,1.25.22 16:24:52,anonymous,Mężczyzna,64,Wyższe,Tak,4 – raczej się zgadzam,5 – zgadzam się,3 – raczej się nie zgadzam,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,4 – raczej się zgadzam,5 – zgadzam się,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam
5,3.2.22 13:47:15,3.2.22 13:47:24,anonymous,Kobieta,,,,,,,,,,,,,
6,3.2.22 13:43:52,3.2.22 13:56:57,anonymous,Mężczyzna,25,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
7,3.2.22 13:53:10,3.2.22 13:58:56,anonymous,Mężczyzna,22,Zawodowe,Tak,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
8,3.2.22 14:05:34,3.2.22 14:05:41,anonymous,Kobieta,,,,,,,,,,,,,
9,3.2.22 14:29:52,3.2.22 14:41:41,anonymous,Mężczyzna,18,Podstawowe,Tak,4 – raczej się zgadzam,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się,5 – zgadzam się
10,3.2.22 14:37:15,3.2.22 14:45:22,anonymous,Mężczyzna,18,Podstawowe,Tak,5 – zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się
11,3.2.22 14:50:30,3.2.22 14:50:33,anonymous,Kobieta,,,,,,,,,,,,,
12,3.2.22 14:28:35,3.2.22 14:56:45,anonymous,Mężczyzna,20,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam
13,3.2.22 14:47:33,3.2.22 14:59:19,anonymous,Mężczyzna,22,Średnie,Tak,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,4 – raczej się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam
14,3.2.22 14:45:11,3.2.22 14:59:50,anonymous,Mężczyzna,21,Średnie,Tak,5 – zgadzam się,4 – raczej się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam
15,3.2.22 15:44:11,3.2.22 15:44:20,anonymous,Inna,,,,,,,,,,,,,
16,3.2.22 15:56:05,3.2.22 15:56:06,anonymous,Inna,,,,,,,,,,,,,
17,3.2.22 16:10:21,3.2.22 16:18:23,anonymous,Mężczyzna,21,Średnie,Tak,4 – raczej się zgadzam,5 – zgadzam się,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam
18,3.2.22 16:33:03,3.2.22 16:53:29,anonymous,Mężczyzna,21,Średnie,Tak,4 – raczej się zgadzam,3 – raczej się nie zgadzam,2 – nie zgadzam się,6 – zdecydowanie się zgadzam,4 – raczej się zgadzam,1 – zdecydowanie się nie zgadzam,4 – raczej się zgadzam,2 – nie zgadzam się,1 – zdecydowanie się nie zgadzam,5 – zgadzam się
19,3.2.22 17:00:03,3.2.22 17:00:11,anonymous,Kobieta,,,,,,,,,,,,,
20,3.2.22 18:39:37,3.2.22 18:50:09,anonymous,Mężczyzna,21,Średnie,Tak,6 – zdecydowanie się zgadzam,5 – zgadzam się,2 – nie zgadzam się,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,2 – nie zgadzam się,6 – zdecydowanie się zgadzam
21,3.2.22 20:09:50,3.2.22 20:09:57,anonymous,Kobieta,,,,,,,,,,,,,
22,3.2.22 21:12:41,3.2.22 21:25:48,anonymous,Mężczyzna,20,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,2 – nie zgadzam się,6 – zdecydowanie się zgadzam,5 – zgadzam się,2 – nie zgadzam się,4 – raczej się zgadzam,3 – raczej się nie zgadzam,1 – zdecydowanie się nie zgadzam,3 – raczej się nie zgadzam
23,3.2.22 21:19:26,3.2.22 21:40:31,anonymous,Mężczyzna,19,Podstawowe,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam
24,3.2.22 21:26:54,3.2.22 21:42:30,anonymous,Mężczyzna,22,Średnie,Tak,5 – zgadzam się,5 – zgadzam się,3 – raczej się nie zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,3 – raczej się nie zgadzam,5 – zgadzam się,5 – zgadzam się,4 – raczej się zgadzam,3 – raczej się nie zgadzam
25,3.2.22 21:26:11,3.2.22 21:46:06,anonymous,Mężczyzna,23,Średnie,Tak,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,6 – zdecydowanie się zgadzam,5 – zgadzam się
