Subject,KTR_O,KTR_W
j3vB,23,31
wced,25,38
aoEF,33,31
CjRB,24,34
bYhC,29,41
zCdZ,17,28
wspA,24,29
GGwI,18,35
L9ZW,23,35
1stk,24,33
HgxR,24,38
CdHU,25,34
zXXO,23,29
yo0R,34,39
tTeE,25,39
5qw4,29,34
bWx0,20,32
Isy4,26,39
dGxI,16,26
jtbx,25,40
uSUU,26,33
QeRx,20,37
mwDi,24,34
Brez,23,38
JDfr,21,32
bLCt,17,39
gJeL,22,31
yLgV,20,35
aAWy,22,36
GUz0,25,32
Wvxb,23,35
ERan,32,36
OU1u,21,28
hMfJ,31,36
CJTL,24,31
KsvP,16,30
yzdt,29,33
aq1B,22,29
Krtb,29,33
toNv,23,39
o7uk,26,40
qjky,25,29
IpzL,20,38
45Ak,24,33
pVSA,18,30
3xen,24,41
fMsz,25,34
xdtp,29,39
Byhf,31,35
VFYK,23,37
iuz9,18,21
NDp6,16,23
piRo,18,27
3RS7,22,36
dcJY,23,28
f0CZ,25,37
8kxH,14,37
qvwN,24,37
lkiW,25,28
4wII,18,27
RqMc,21,34
C2HH,21,34
yEAa,23,33
sddt,30,34
wYwk,27,37
COA3,25,31
