form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,3.3184095360002175,,,,,,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
2,Jaki jest twoj wiek?,free text,25 ,None,,,,,,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,8.211581518000003,,,,,,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,6.359988372999851,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,7.962481416999708,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,10.461091977000251,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,14.012011444000109,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,16.859631094999713,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,19.9923190479999,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,7.060110918999726,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,6.35413627700018,,,KP,001,2021_kwi_21_2037,eksperyment_trudny,2021.1.3,60.08988485345251,
,,,,,,,,,,310.9832007109999,None,,,,,,,
