form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,2.8105404999805614,,,,,,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
2,Jaki jest twoj wiek?,free text, 24 ,None,,,,,,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,40.753938999958336,,,,,,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,14.107316700043157,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,16.235827299999073,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,nie,28.981132400105707,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,30.09911930002272,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,5.0371644999831915,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,3.275036899955012,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,4.1780280999373645,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,3.6105581000447273,,,AT,001,2021_Apr_25_1402,eksperyment_latwy,2021.1.2,59.74083229523574,
,,,,,,,,,,122.68828430003487,None,,,,,,,
