form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,mezczyzna,4.336056299999996,,,,,,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
2,Jaki jest twoj wiek?,free text, 20 ,None,,,,,,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,11.191137400000002,,,,,,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,nie,102.27012220000006,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,2,Czy wrócił w czerwcu?,choice,nie,21.557804799999985,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,70.0264183999999,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,26.962394200000062,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,33.39365090000001,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,tak,87.07530689999999,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,87.74449599999991,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,nie,40.45983720000004,,,FB,001,2021_Apr_24_1649,eksperyment_latwy,2021.1.2,59.9850517251042,
,,,,,,,,,,419.34052429999997,None,,,,,,,
