form.index,form.itemText,form.type,form.response,form.rt,form_2.index,form_2.itemText,form_2.type,form_2.response,form_2.rt,zakonczenie_instrukcja.started,zakonczenie_instrukcja.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,Jaka jest twoja plec?,choice,kobieta,4.1562145000789315,,,,,,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
2,Jaki jest twoj wiek?,free text, 21 ,None,,,,,,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
3,Czy wyrazasz zgode na udzial w badaniu?,choice,tak,56.755747799994424,,,,,,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,1,Czy narrator był w lutym w Paryżu?,choice,tak,76.29262360010762,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,2,Czy wrócił w czerwcu?,choice,tak,74.36099830002058,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,3,Czy pocztówka pochodząca od Gunnara była z Paryża?,choice,tak,71.18285129999276,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,4,"Czy narrator sądzi, że Francuska poczta działa fatalnie?",choice,tak,62.01788509998005,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,5,Czy narrator był poirytowany znikającą korespondencją?,choice,tak,46.916977699962445,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,6,"Czy narrator twierdzi, że jego sztuka jest daleka od premiery?",choice,nie,41.34138030000031,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,7,"Czy uważa, że wersja angielska spektaklu jest najlepsza?",choice,nie,34.90746690006927,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,8,Czy narrator był na konferencji teatralnej we Wiedniu?,choice,tak,27.42971070006024,,,AG,001,2021_Apr_25_0233,eksperyment_latwy,2021.1.4,59.81744912538745,
,,,,,,,,,,456.6240797000937,None,,,,,,,
